потому/потому что	that is why because	Я ушёл, потому что он там|I left because he is there	deck#4	due@2020-10-12 15:50:27
никто	nobody	Никто не знает|Nobody knows	deck#5	due@2020-12-11 08:42:53
ждать/подо- (+a or g)	to wait (for)	я жду; он ждёт; Ждите ответа!|I am waiting; he is waiting; Wait for an answer! /p подожду, подождёшь	deck#3	due@2020-09-18 22:37:48
сколько (+g)	how many, how much	Сколько лет?|How many years?	deck#5	due@2020-12-11 15:50:30
высокий	high, tall	высокая девушка|a tall girl	deck#4	due@2020-10-11 22:35:07
лучше	better	Он говорит лучше, чем вы|Не speaks better than you	deck#5	due@2020-12-11 15:50:34
получать/получить (+a)	to receive, get	Ты получишь письмо завтра|You will receive the letter tomorrow	deck#3	due@2020-09-18 22:32:24
почти	almost	почти год|almost a year	deck#4	due@2020-10-11 22:33:02
лес	wood, forest	В лесу тихо|It’s quiet in the forest	deck#4	due@2020-10-12 15:50:36
конец	end	конец света; в конце года|the end of the world; at the end of the year	deck#4	due@2020-10-12 15:50:38
нога	leg/foot	Ох, мой ноги|Oh, my feet	deck#3	due@2020-09-18 22:38:14
собственный	(one’s) own	собственными глазами|with one’s own eyes	due@2020-09-13 22:37:14
сто	hundred	сто долларов; больше ста|a hundred dollars; more than a hundred	deck#4	due@2020-10-12 15:50:46
художник	artist	молодые художники|young artists	due@2020-09-12 19:15:07
четыре	four	четыре времени года|four seasons	deck#5	due@2020-12-11 08:56:55
пока	while	пока он здесь|while he is here	due@2020-09-12 19:15:16
пока не	until	пока он не придёт|until he comes	due@2020-09-13 22:34:00
слушать/по- (+a)	to listen to	Он слушает музыку|He is listening to music	deck#4	due@2020-10-12 15:51:13
путь (m)	way, journey	по пути|on the way	deck#3	due@2020-09-19 15:51:17
белый	white	белые дома|white houses	deck#3	due@2020-09-19 15:51:20
республика	republic	федеральная республика|federal republic	deck#4	due@2020-10-12 15:51:21
быстро	quickly	Мы шли быстро|We were walking quickly	deck#4	due@2020-10-12 08:50:13
куда	where (whither)	Куда они пошли?|Where have they gone?	deck#4	due@2020-10-12 15:51:24
главный	main	Вот главная улица|Here is the main street	deck#4	due@2020-10-11 22:32:26
дети (pl)	children	У них нет детей|They have no children	deck#4	due@2020-10-12 15:51:25
рассказывать/рассказать	to tell, talk (about)	i Он рассказывал о войне|He was talking about the war; p Я расскажу вам историю; Он рассказал нам о них|I’ll tell you a story; He talked about them	deck#3	due@2020-09-19 15:51:41
совет	advice; council	хороший совет|a good piece of advice	deck#3	due@2020-09-18 22:33:45
газета	newspaper	Мы читали газету|We were reading the newspaper	deck#5	due@2020-12-11 15:51:43
понимать/понять (+a)	to understand	Никто не понимает|Nobody understands; Вы меня не поняли|You haven’t understood me	deck#4	due@2020-10-12 08:45:32
пора	it is time; time, season	Пора идти|It is time to go	due@2020-09-12 19:17:22
твой	your (familiar)	Я получил твоё письмо|I have received your letter	deck#4	due@2020-10-11 22:37:33
бывать (i)	to be (repeatedly)	Он часто бывает здесь|He is often here	deck#3	due@2020-09-19 15:51:56
находить/найти (+a)	to find	i: нахожу, находишь; Она нашла книгу?|Did she find the book?	deck#4	due@2020-10-12 08:45:04
песня	song	песня о лёте|a song about summer	deck#4	due@2020-10-12 15:51:59
имя (n)	(first) name	Как ваше имя?|What is your name? g sg имени	deck#5	due@2020-12-11 15:52:01
партия	party (political)	лидер партии|party leader	deck#5	due@2020-12-11 15:52:02
вечер	evening	летние вечера|summer evenings	deck#4	due@2020-10-12 15:52:03
опять	again	Почему вы опять здесь?|Why are you here again?	deck#4	due@2020-10-12 15:52:05
иметь (i) (+a)	to have (with non-concrete object)	иметь право что-то сделать|to have the right to do something	deck#3	due@2020-09-19 15:52:14
между (+inst)	between	между городом и лесом|between the town and the wood	deck#4	due@2020-10-12 08:46:29
настоящий	real; present	настоящий друг; настоящее время|a real friend; the present time	deck#2	due@2020-09-12 22:33:36
план	plan	Какие у вас планы?|What are your plans?	deck#4	due@2020-10-12 15:52:15
правда	truth	Он сказал правду|He told the truth	deck#4	due@2020-10-12 08:42:23
сорок	forty	сорок человек|forty people	due@2020-09-12 19:17:26
ходить/с-	to go there and back	ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town; p: схожу, сходишь	deck#3	due@2020-09-20 22:36:23
ходить/пo-	to walk around	ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town	deck#4	due@2020-10-12 08:48:37
узнавать/узнать (+a)	to recognize; find out	i узнаю, узнаёшь; Я узнаю её; Мы узнали, где она живёт|I shall recognize her; We found out where she lives	deck#2	due@2020-09-13 15:52:36
поле	field	работать в поле|to work in the field	deck#4	due@2020-10-12 15:52:39
ночь (f)	night	Спокойной ночи!|Peaceful night (Goodnight)	deck#4	due@2020-10-12 08:53:24
входить/войти	to enter	Входите!|Come in!; я войду; я вошёл|I shall enter; I entered	deck#4	due@2020-10-12 15:52:42
красный	red	Красная площадь|Red Square	deck#5	due@2020-12-10 22:32:18
более	more	более интересная книга|a more interesting book	deck#4	due@2020-10-12 08:42:02
урок	lesson	уроки русского языка|Russian lessons	deck#3	due@2020-09-18 22:39:06
нельзя	it is not allowed; it is impossible	Вам нельзя курить здесь|You can’t smoke here	deck#4	due@2020-10-12 15:52:44
тело	body	части тела|parts of the body	deck#3	due@2020-09-19 15:52:47
рядом	alongside	Она сидела рядом со мной|She was sitting next to me	deck#2	due@2020-09-14 22:37:55
лежать/по-	to lie, (p) lie for a while	i Газета лежит на столе|The paper is lying on the table; p p полежу, полежишь	deck#2	due@2020-09-13 15:53:04
про (+a)	about (=о +pr) (coll)	Он слышал про эту книгу|Не has heard about this book	deck#2	due@2020-09-13 15:53:13
интересный	interesting	интересные друзья|interesting friends	deck#5	due@2020-12-11 15:53:15
